# uniform1 uniform2 gaussian1 gaussian2
  0.522035 0.101233 0.922233 0.004970
  0.251043 0.355810 -0.284639 1.330148
  0.337865 0.718804 0.243211 0.486665
  0.621727 0.567660 1.791432 0.179940
  0.425155 0.746759 0.634715 2.645008
  0.222965 0.262902 -1.194100 -0.964025
  0.938062 0.027973 -1.305881 0.016303
  0.126798 0.285284 -1.787157 0.245476
  0.466769 0.458794 -0.715492 1.614216
  0.558968 0.699367 -0.862644 0.470811
  0.988371 0.330837 0.564219 0.487702
  0.102439 0.578241 -0.733524 0.153121
  0.736812 0.708276 1.136661 -0.733139
  0.364038 0.735054 -0.628462 -1.402952
  0.794395 0.198122 0.352517 -0.861997
  0.480153 0.410193 -1.370803 -0.422091
  0.368662 0.810330 -0.118113 0.594789
  0.613886 0.868908 -0.270934 -0.770155
  0.057563 0.865487 -0.275457 -0.928322
  0.429581 0.098840 -0.645595 -1.283901
  0.150759 0.633081 0.467150 -1.205718
  0.129927 0.525587 -0.790703 0.822510
  0.514782 0.090425 0.229346 -0.414052
  0.425240 0.035839 -1.179381 0.293423
  0.034547 0.750556 -1.201047 -1.712966
  0.465579 0.386550 0.524664 -0.875442
  0.273375 0.012255 -0.036217 -0.462838
  0.109450 0.470513 0.958128 1.580804
  0.531084 0.221566 0.692246 -1.248288
  0.271109 0.040419 0.658591 1.354100
  0.575279 0.668250 -1.317974 0.427437
  0.793571 0.079961 0.970614 0.092781
  0.697867 0.418478 -0.118528 0.544678
  0.439995 0.886355 -0.503775 0.731742
  0.146012 0.862204 -1.415653 -0.589466
  0.927346 0.730190 1.277342 0.073538
  0.105835 0.329446 -0.143626 -1.043863
  0.801825 0.681440 -0.069832 0.069951
  0.156634 0.620209 0.476231 0.244905
  0.088683 0.253722 0.288408 -1.000414
  0.308388 0.733501 -0.451625 -0.990669
  0.031232 0.213354 0.866847 1.703283
  0.484714 0.040642 -0.727682 0.603116
  0.346641 0.764021 1.071135 -0.440359
  0.228058 0.557354 0.502128 -1.294631
  0.665441 0.777888 0.668671 0.821741
  0.902066 0.869434 -1.159586 0.249287
  0.757021 0.841635 0.923476 -0.679765
  0.673352 0.167329 0.892507 -1.600194
  0.952775 0.319034 -1.030042 1.249228
  0.499271 0.785296 -1.335685 -1.203158
  0.183056 0.318161 -0.193004 -1.225801
  0.857483 0.767694 2.708560 -1.125900
  0.172503 0.832598 0.313590 -0.349326
  0.773703 0.389258 -0.017884 -0.156159
  0.238952 0.511662 0.164435 1.649253
  0.687570 0.121034 0.041613 1.348447
  0.546787 0.503885 -1.681733 -1.971932
  0.430031 0.721360 1.414023 -0.517251
  0.085930 0.659798 -3.439910 -0.962395
  0.977815 0.509026 -0.567916 1.190973
  0.511733 0.832972 -0.313577 -0.088464
  0.345274 0.245908 1.343384 -1.315649
  0.780708 0.599475 0.617401 0.955706
  0.266469 0.522093 0.622860 1.186730
  0.235127 0.006270 -1.095171 -0.054876
  0.828425 0.299376 -1.456398 -1.122831
  0.001278 0.457010 1.605390 0.843520
  0.350776 0.274861 0.528724 1.835507
  0.766994 0.240049 -0.984714 -1.057180
  0.255633 0.438149 -1.340775 1.141361
  0.597959 0.274193 -1.146549 0.812945
  0.524539 0.455319 -0.438456 -0.670077
  0.400426 0.450387 -1.134189 -1.814052
  0.624939 0.480235 -1.293834 -1.667694
  0.169334 0.979077 1.011516 1.045390
  0.704123 0.845031 0.165567 0.215235
  0.386348 0.137232 -1.659355 1.118147
  0.878388 0.909550 -0.781868 -1.449353
  0.680077 0.415103 -0.690224 1.944334
  0.456991 0.571799 -1.192319 1.492378
  0.680234 0.034322 0.161400 -0.011773
  0.008001 0.799595 -1.739105 0.865763
  0.650831 0.083963 0.261949 -0.899012
  0.559033 0.677254 0.458678 1.612822
  0.415862 0.188619 0.090934 -0.440557
  0.504750 0.421733 -0.910118 0.528341
  0.443555 0.192466 1.657892 1.879609
  0.440745 0.610485 -2.811743 -1.580059
  0.184199 0.639192 0.000787 -0.885844
  0.388535 0.516613 -0.240840 -1.376148
  0.357938 0.377368 0.671460 1.029880
  0.097015 0.797036 -0.637543 -1.313449
  0.401450 0.489168 -0.061367 1.666693
  0.171831 0.584490 -1.024636 0.368644
  0.278284 0.226204 -0.228031 -0.855782
  0.549913 0.826021 1.641473 1.433184
  0.101698 0.821684 -1.289477 -3.542018
  0.655208 0.195052 1.318249 -1.185247
  0.299789 0.643484 -1.442595 0.785091
