# Ising model in 2dimensions at kT = 0.5
#  time     energy  
      0     -290.000
      1     -426.000
      2     -506.000
      3     -562.000
      4     -592.000
      5     -606.000
      6     -626.000
      7     -628.000
      8     -638.000
      9     -648.000
     10     -648.000
     11     -648.000
     12     -654.000
     13     -654.000
     14     -654.000
     15     -658.000
     16     -662.000
     17     -664.000
     18     -670.000
     19     -670.000
     20     -672.000
     21     -674.000
     22     -682.000
     23     -684.000
     24     -682.000
     25     -680.000
     26     -682.000
     27     -680.000
     28     -682.000
     29     -684.000
     30     -684.000
     31     -684.000
     32     -686.000
     33     -690.000
     34     -694.000
     35     -688.000
     36     -690.000
     37     -690.000
     38     -694.000
     39     -698.000
     40     -698.000
     41     -698.000
     42     -704.000
     43     -704.000
     44     -714.000
     45     -714.000
     46     -714.000
     47     -722.000
     48     -716.000
     49     -720.000
     50     -722.000
     51     -722.000
     52     -722.000
     53     -720.000
     54     -720.000
     55     -720.000
     56     -718.000
     57     -720.000
     58     -720.000
     59     -718.000
     60     -720.000
     61     -722.000
     62     -722.000
     63     -722.000
     64     -722.000
     65     -720.000
     66     -718.000
     67     -716.000
     68     -722.000
     69     -722.000
     70     -722.000
     71     -722.000
     72     -722.000
     73     -718.000
     74     -716.000
     75     -714.000
     76     -718.000
     77     -718.000
     78     -722.000
     79     -722.000
     80     -722.000
     81     -718.000
     82     -718.000
     83     -722.000
     84     -720.000
     85     -722.000
     86     -722.000
     87     -720.000
     88     -722.000
     89     -720.000
     90     -722.000
     91     -722.000
     92     -722.000
     93     -722.000
     94     -722.000
     95     -722.000
     96     -722.000
     97     -720.000
     98     -720.000
     99     -720.000
    100     -722.000
    110     -716.000
    120     -722.000
    130     -722.000
    140     -722.000
    150     -720.000
    160     -720.000
    170     -720.000
    180     -720.000
    190     -722.000
    200     -720.000
    210     -722.000
    220     -722.000
    230     -722.000
    240     -718.000
    250     -720.000
    260     -722.000
    270     -722.000
    280     -722.000
    290     -722.000
    300     -722.000
    310     -722.000
    320     -722.000
    330     -718.000
    340     -722.000
    350     -720.000
    360     -722.000
    370     -718.000
    380     -720.000
    390     -722.000
    400     -720.000
    410     -722.000
    420     -718.000
    430     -720.000
    440     -720.000
    450     -720.000
    460     -718.000
    470     -720.000
    480     -722.000
    490     -722.000
    500     -722.000
    510     -722.000
    520     -722.000
    530     -720.000
    540     -722.000
    550     -722.000
    560     -720.000
    570     -722.000
    580     -722.000
    590     -722.000
    600     -720.000
    610     -720.000
    620     -722.000
    630     -722.000
    640     -720.000
    650     -722.000
    660     -722.000
    670     -722.000
    680     -718.000
    690     -720.000
    700     -720.000
    710     -720.000
    720     -720.000
    730     -716.000
    740     -720.000
    750     -722.000
    760     -722.000
    770     -720.000
    780     -720.000
    790     -722.000
    800     -720.000
    810     -720.000
    820     -720.000
    830     -718.000
    840     -722.000
    850     -722.000
    860     -720.000
    870     -720.000
    880     -720.000
    890     -720.000
    900     -720.000
    910     -722.000
    920     -720.000
    930     -718.000
    940     -720.000
    950     -722.000
    960     -722.000
    970     -722.000
    980     -720.000
    990     -722.000
