# Ising model in 2dimensions at kT = 1
#  time     energy  
      0     -300.000
      1     -386.000
      2     -476.000
      3     -530.000
      4     -548.000
      5     -564.000
      6     -580.000
      7     -604.000
      8     -612.000
      9     -634.000
     10     -652.000
     11     -648.000
     12     -652.000
     13     -644.000
     14     -666.000
     15     -672.000
     16     -672.000
     17     -682.000
     18     -684.000
     19     -688.000
     20     -690.000
     21     -690.000
     22     -694.000
     23     -692.000
     24     -690.000
     25     -692.000
     26     -690.000
     27     -690.000
     28     -684.000
     29     -690.000
     30     -692.000
     31     -696.000
     32     -694.000
     33     -690.000
     34     -690.000
     35     -700.000
     36     -702.000
     37     -690.000
     38     -700.000
     39     -710.000
     40     -712.000
     41     -706.000
     42     -702.000
     43     -710.000
     44     -714.000
     45     -698.000
     46     -704.000
     47     -704.000
     48     -702.000
     49     -716.000
     50     -712.000
     51     -714.000
     52     -706.000
     53     -718.000
     54     -718.000
     55     -710.000
     56     -710.000
     57     -716.000
     58     -706.000
     59     -706.000
     60     -712.000
     61     -710.000
     62     -706.000
     63     -714.000
     64     -712.000
     65     -714.000
     66     -706.000
     67     -720.000
     68     -716.000
     69     -714.000
     70     -716.000
     71     -712.000
     72     -716.000
     73     -708.000
     74     -710.000
     75     -716.000
     76     -718.000
     77     -706.000
     78     -714.000
     79     -714.000
     80     -712.000
     81     -710.000
     82     -708.000
     83     -718.000
     84     -716.000
     85     -718.000
     86     -718.000
     87     -714.000
     88     -702.000
     89     -700.000
     90     -706.000
     91     -720.000
     92     -714.000
     93     -716.000
     94     -712.000
     95     -718.000
     96     -712.000
     97     -706.000
     98     -710.000
     99     -714.000
    100     -710.000
    110     -708.000
    120     -710.000
    130     -708.000
    140     -706.000
    150     -712.000
    160     -714.000
    170     -716.000
    180     -702.000
    190     -716.000
    200     -716.000
    210     -704.000
    220     -708.000
    230     -706.000
    240     -716.000
    250     -704.000
    260     -714.000
    270     -708.000
    280     -704.000
    290     -710.000
    300     -688.000
    310     -696.000
    320     -718.000
    330     -706.000
    340     -700.000
    350     -714.000
    360     -702.000
    370     -712.000
    380     -712.000
    390     -712.000
    400     -706.000
    410     -710.000
    420     -710.000
    430     -716.000
    440     -712.000
    450     -708.000
    460     -710.000
    470     -710.000
    480     -716.000
    490     -710.000
    500     -708.000
    510     -714.000
    520     -708.000
    530     -714.000
    540     -712.000
    550     -720.000
    560     -714.000
    570     -706.000
    580     -718.000
    590     -710.000
    600     -716.000
    610     -708.000
    620     -712.000
    630     -710.000
    640     -710.000
    650     -706.000
    660     -708.000
    670     -708.000
    680     -706.000
    690     -698.000
    700     -712.000
    710     -712.000
    720     -714.000
    730     -716.000
    740     -716.000
    750     -706.000
    760     -706.000
    770     -712.000
    780     -712.000
    790     -714.000
    800     -708.000
    810     -716.000
    820     -712.000
    830     -714.000
    840     -704.000
    850     -698.000
    860     -704.000
    870     -718.000
    880     -706.000
    890     -704.000
    900     -708.000
    910     -712.000
    920     -714.000
    930     -718.000
    940     -716.000
    950     -704.000
    960     -714.000
    970     -716.000
    980     -716.000
    990     -718.000
