#  energy     metropolis  
    -50   0.34161176 
    -48   0.00000000 
    -46   0.00000000 
    -44   0.00000000 
    -42   0.09357647 
    -40   0.00000000 
    -38   0.03044706 
    -36   0.00000000 
    -34   0.05135882 
    -32   0.00000000 
    -30   0.04202941 
    -28   0.00000000 
    -26   0.05434706 
    -24   0.00000000 
    -22   0.06456471 
    -20   0.00000000 
    -18   0.07510588 
    -16   0.00000000 
    -14   0.07251765 
    -12   0.00000000 
    -10   0.05791176 
     -8   0.00000000 
     -6   0.03554706 
     -4   0.00000000 
     -2   0.01555882 
      0   0.00000000 
      2   0.00515882 
      4   0.00000000 
      6   0.00129412 
      8   0.00000000 
     10   0.00020000 
     12   0.00000000 
     14   0.00003529 
     16   0.00000000 
     18   0.00000000 
     20   0.00000000 
     22   0.00000000 
     24   0.00000000 
     26   0.00000000 
     28   0.00000000 
     30   0.00000000 
     32   0.00000000 
     34   0.00000000 
     36   0.00000000 
     38   0.00000000 
     40   0.00000000 
     42   0.00000000 
     44   0.00000000 
     46   0.00000000 
     48   0.00000000 
     50   0.00000000 

