#  N   trapezoid     Simpsons      Gauss  
#-----------------------------------------
1.09861  -3.875352e+00  -7.995180e+00  -1.453718e+01
1.386294e+00  -4.683983e+00  -2.586607e+00  -1.805086e+01
1.609438e+00  -5.258540e+00  -1.074819e+01  -1.805086e+01
1.791759e+00  -5.704430e+00  -3.154572e+00  -1.805086e+01
1.945910e+00  -6.068885e+00  -1.237361e+01  -1.634351e+01
2.079442e+00  -6.377073e+00  -3.517046e+00  -1.805086e+01
2.197225e+00  -6.644082e+00  -1.354883e+01  -1.805086e+01
2.302585e+00  -6.879528e+00  -3.783193e+00  -1.805086e+01
2.397895e+00  -7.090285e+00  -1.441102e+01  -1.805086e+01
2.484907e+00  -7.280701e+00  -3.993438e+00  -1.805086e+01
2.564949e+00  -7.454954e+00  -1.513077e+01  -1.603405e+01
2.639057e+00  -7.614720e+00  -4.167170e+00  -1.540976e+01
2.708050e+00  -7.762839e+00  -1.556357e+01  -1.634351e+01
2.772589e+00  -7.901011e+00  -4.315219e+00  -1.805086e+01
2.833213e+00  -8.030193e+00  -1.634351e+01  -1.805086e+01
2.890372e+00  -8.151391e+00  -4.444177e+00  -1.634351e+01
2.944439e+00  -8.265589e+00  -1.634351e+01  -1.603405e+01
2.995732e+00  -8.373077e+00  -4.558409e+00  -1.634351e+01
3.044522e+00  -8.477084e+00  -1.556357e+01  -1.603405e+01
3.091042e+00  -8.574033e+00  -4.660925e+00  -1.805086e+01
3.135494e+00  -8.667606e+00  -1.634351e+01  -1.603405e+01
3.178054e+00  -8.755173e+00  -4.753931e+00  -1.556357e+01
3.218876e+00  -8.840672e+00  -1.805086e+01  -1.603405e+01
3.258097e+00  -8.922081e+00  -4.839010e+00  -1.634351e+01
3.295837e+00  -9.000720e+00  -1.634351e+01  -1.805086e+01
3.332205e+00  -9.077782e+00  -4.917429e+00  -1.556357e+01
3.367296e+00  -9.147906e+00  -1.805086e+01  -1.603405e+01
3.401197e+00  -9.219506e+00  -4.990145e+00  -1.805086e+01
3.433987e+00  -9.288441e+00  -1.513077e+01  -1.556357e+01
3.465736e+00  -9.352650e+00  -5.057935e+00  -1.805086e+01
3.496508e+00  -9.416620e+00  -1.603405e+01  -1.634351e+01
3.526361e+00  -9.476315e+00  -5.121435e+00  -1.805086e+01
3.555348e+00  -9.539800e+00  -1.805086e+01  -1.634351e+01
3.583519e+00  -9.595045e+00  -5.181108e+00  -1.540976e+01
3.610918e+00  -9.654990e+00  -1.513077e+01  -1.805086e+01
3.637586e+00  -9.707845e+00  -5.237464e+00  -1.556357e+01
3.663562e+00  -9.760376e+00  -1.634351e+01  -1.805086e+01
3.688879e+00  -9.810651e+00  -5.290783e+00  -1.603405e+01
3.713572e+00  -9.861777e+00  -1.805086e+01  -1.603405e+01
3.737670e+00  -9.911848e+00  -5.341360e+00  -1.634351e+01
3.761200e+00  -9.958563e+00  -1.634351e+01  -1.634351e+01
3.784190e+00  -1.000966e+01  -5.389558e+00  -1.805086e+01
3.806662e+00  -1.005470e+01  -1.603405e+01  -1.540976e+01
3.828641e+00  -1.009957e+01  -5.435578e+00  -1.556357e+01
3.850148e+00  -1.014414e+01  -1.805086e+01  -1.805086e+01
3.871201e+00  -1.018578e+01  -5.479492e+00  -1.805086e+01
3.891820e+00  -1.022401e+01  -1.634351e+01  -1.603405e+01
3.912023e+00  -1.026107e+01  -5.521620e+00  -1.556357e+01
3.931826e+00  -1.030236e+01  -1.634351e+01  -1.634351e+01
3.951244e+00  -1.034542e+01  -5.562035e+00  -1.634351e+01
3.970292e+00  -1.039043e+01  -1.556357e+01  -1.805086e+01
3.988984e+00  -1.042477e+01  -5.600881e+00  -1.556357e+01
4.007333e+00  -1.045377e+01  -1.603405e+01  -1.634351e+01
4.025352e+00  -1.050751e+01  -5.638245e+00  -1.634351e+01
4.043051e+00  -1.052491e+01  -1.603405e+01  -1.805086e+01
4.060443e+00  -1.057162e+01  -5.674254e+00  -1.634351e+01
4.077537e+00  -1.060910e+01  -1.805086e+01  -1.805086e+01
4.094345e+00  -1.064407e+01  -5.709132e+00  -1.805086e+01
4.110874e+00  -1.068032e+01  -1.556357e+01  -1.805086e+01
4.127134e+00  -1.070944e+01  -5.742707e+00  -1.603405e+01
4.143135e+00  -1.072219e+01  -1.603405e+01  -1.603405e+01
4.158883e+00  -1.077037e+01  -5.775108e+00  -1.634351e+01
4.174387e+00  -1.078849e+01  -1.805086e+01  -1.634351e+01
4.189655e+00  -1.082573e+01  -5.806679e+00  -1.634351e+01
4.204693e+00  -1.086441e+01  -1.603405e+01  -1.603405e+01
4.219508e+00  -1.088937e+01  -5.837176e+00  -1.634351e+01
4.234107e+00  -1.092016e+01  -1.603405e+01  -1.540976e+01
4.248495e+00  -1.094123e+01  -5.866767e+00  -1.634351e+01
4.262680e+00  -1.099033e+01  -1.513077e+01  -1.805086e+01
4.276666e+00  -1.102445e+01  -5.895579e+00  -1.482970e+01
4.290459e+00  -1.103609e+01  -1.603405e+01  -1.634351e+01
4.304065e+00  -1.105381e+01  -5.923588e+00  -1.805086e+01
4.317488e+00  -1.109021e+01  -1.634351e+01  -1.634351e+01
4.330733e+00  -1.112159e+01  -5.950846e+00  -1.556357e+01
4.343805e+00  -1.114090e+01  -1.603405e+01  -1.513077e+01
4.356709e+00  -1.118747e+01  -5.977230e+00  -1.805086e+01
4.369448e+00  -1.120118e+01  -1.556357e+01  -1.603405e+01
4.382027e+00  -1.123631e+01  -6.003146e+00  -1.634351e+01
4.394449e+00  -1.125072e+01  -1.634351e+01  -1.556357e+01
4.406719e+00  -1.128016e+01  -6.028341e+00  -1.603405e+01
4.418841e+00  -1.130283e+01  -1.603405e+01  -1.603405e+01
4.430817e+00  -1.131824e+01  -6.052863e+00  -1.603405e+01
4.442651e+00  -1.135781e+01  -1.603405e+01  -1.556357e+01
4.454347e+00  -1.134977e+01  -6.076728e+00  -1.556357e+01
4.465908e+00  -1.136592e+01  -1.634351e+01  -1.540976e+01
4.477337e+00  -1.140747e+01  -6.099998e+00  -1.556357e+01
4.488636e+00  -1.142459e+01  -1.556357e+01  -1.603405e+01
4.499810e+00  -1.145083e+01  -6.123048e+00  -1.513077e+01
4.510860e+00  -1.149615e+01  -1.540976e+01  -1.634351e+01
4.521789e+00  -1.149615e+01  -6.145410e+00  -1.603405e+01
4.532599e+00  -1.149615e+01  -1.556357e+01  -1.513077e+01
4.543295e+00  -1.158329e+01  -6.167068e+00  -1.540976e+01
4.553877e+00  -1.155339e+01  -1.603405e+01  -1.805086e+01
4.564348e+00  -1.160373e+01  -6.188654e+00  -1.556357e+01
4.574711e+00  -1.159346e+01  -1.556357e+01  -1.603405e+01
4.584967e+00  -1.161411e+01  -6.209684e+00  -1.556357e+01
4.595120e+00  -1.167875e+01  -1.603405e+01  -1.634351e+01
4.605170e+00  -1.165674e+01  -6.230207e+00  -1.556357e+01
4.615121e+00  -1.171272e+01  -1.634351e+01  -1.634351e+01
4.624973e+00  -1.173601e+01  -6.250036e+00  -1.805086e+01
4.634729e+00  -1.174787e+01  -1.634351e+01  -1.482970e+01
4.644391e+00  -1.175987e+01  -6.269719e+00  -1.513077e+01
4.653960e+00  -1.177201e+01  -1.513077e+01  -1.482970e+01
4.663439e+00  -1.177201e+01  -6.289034e+00  -1.453718e+01
4.672829e+00  -1.179675e+01  -1.603405e+01  -1.603405e+01
4.682131e+00  -1.184815e+01  -6.308108e+00  -1.805086e+01
4.691348e+00  -1.188850e+01  -1.556357e+01  -1.482970e+01
4.700480e+00  -1.187487e+01  -6.326762e+00  -1.475290e+01
4.709530e+00  -1.183505e+01  -1.475290e+01  -1.805086e+01
4.718499e+00  -1.188850e+01  -6.345126e+00  -1.540976e+01
4.727388e+00  -1.191634e+01  -1.459860e+01  -1.634351e+01
4.736198e+00  -1.198953e+01  -6.363067e+00  -1.513077e+01
4.744932e+00  -1.193056e+01  -1.805086e+01  -1.634351e+01
4.753590e+00  -1.198953e+01  -6.380557e+00  -1.556357e+01
4.762174e+00  -1.198953e+01  -1.540976e+01  -1.556357e+01
4.770685e+00  -1.198953e+01  -6.397791e+00  -1.634351e+01
4.779123e+00  -1.208507e+01  -1.805086e+01  -1.603405e+01
4.787492e+00  -1.208507e+01  -6.414694e+00  -1.556357e+01
4.795791e+00  -1.200483e+01  -1.805086e+01  -1.603405e+01
4.804021e+00  -1.206850e+01  -6.431653e+00  -1.513077e+01
4.812184e+00  -1.205220e+01  -1.634351e+01  -1.540976e+01
4.820282e+00  -1.215425e+01  -6.448071e+00  -1.540976e+01
4.828314e+00  -1.219072e+01  -1.513077e+01  -1.603405e+01
4.836282e+00  -1.211906e+01  -6.464339e+00  -1.513077e+01
4.844187e+00  -1.219072e+01  -1.603405e+01  -1.634351e+01
4.852030e+00  -1.224805e+01  -6.480323e+00  -1.556357e+01
4.859812e+00  -1.220947e+01  -1.805086e+01  -1.805086e+01
4.867534e+00  -1.219072e+01  -6.495816e+00  -1.482970e+01
4.875197e+00  -1.232998e+01  -1.502834e+01  -1.634351e+01
4.882802e+00  -1.235156e+01  -6.511363e+00  -1.482970e+01
4.890349e+00  -1.224805e+01  -1.603405e+01  -1.482970e+01
4.897840e+00  -1.228817e+01  -6.526512e+00  -1.540976e+01
4.905275e+00  -1.228817e+01  -1.513077e+01  -1.634351e+01
4.912655e+00  -1.232998e+01  -6.541566e+00  -1.634351e+01
4.919981e+00  -1.232998e+01  -1.634351e+01  -1.634351e+01
4.927254e+00  -1.237361e+01  -6.556054e+00  -1.603405e+01
4.934474e+00  -1.226791e+01  -1.556357e+01  -1.805086e+01
4.941642e+00  -1.246704e+01  -6.571092e+00  -1.603405e+01
4.948760e+00  -1.239616e+01  -1.475290e+01  -1.540976e+01
4.955827e+00  -1.237361e+01  -6.585129e+00  -1.513077e+01
4.962845e+00  -1.237361e+01  -1.634351e+01  -1.805086e+01
4.969813e+00  -1.241923e+01  -6.599228e+00  -1.634351e+01
4.976734e+00  -1.241923e+01  -1.556357e+01  -1.603405e+01
4.983607e+00  -1.246704e+01  -6.612966e+00  -1.805086e+01
4.990433e+00  -1.251724e+01  -1.475290e+01  -1.513077e+01
4.997212e+00  -1.241923e+01  -6.626967e+00  -1.502834e+01
5.003946e+00  -1.246704e+01  -1.603405e+01  -1.634351e+01
5.010635e+00  -1.249182e+01  -6.640878e+00  -1.634351e+01
5.017280e+00  -1.257010e+01  -1.513077e+01  -1.540976e+01
5.023881e+00  -1.254332e+01  -6.653668e+00  -1.540976e+01
5.030438e+00  -1.259761e+01  -1.603405e+01  -1.482970e+01
5.036953e+00  -1.254332e+01  -6.667438e+00  -1.502834e+01
5.043425e+00  -1.257010e+01  -1.805086e+01  -1.513077e+01
5.049856e+00  -1.254332e+01  -6.680124e+00  -1.603405e+01
5.056246e+00  -1.259761e+01  -1.482970e+01  -1.805086e+01
5.062595e+00  -1.259761e+01  -6.693125e+00  -1.459860e+01
5.068904e+00  -1.254332e+01  -1.513077e+01  -1.805086e+01
5.075174e+00  -1.265502e+01  -6.705526e+00  -1.556357e+01
5.081404e+00  -1.274783e+01  -1.805086e+01  -1.513077e+01
5.087596e+00  -1.268501e+01  -6.718161e+00  -1.540976e+01
5.093750e+00  -1.262590e+01  -1.502834e+01  -1.475290e+01
5.099866e+00  -1.281487e+01  -6.730800e+00  -1.634351e+01
5.105945e+00  -1.278079e+01  -1.603405e+01  -1.502834e+01
