# 3D harmonic oscillator
# eigenvalue = 1.498152e+00

#   r       u(r)
0.000000 0.000000
0.166667 6.054887e-02
0.333333 1.185897e-01
0.500000 1.717868e-01
0.666667 2.181332e-01
0.833333 2.560752e-01
1.000000 2.845955e-01
1.166667 3.032485e-01
1.333333 3.121482e-01
1.500000 3.119113e-01
1.666667 3.035678e-01
1.833333 2.884471e-01
2.000000 2.680551e-01
2.166667 2.439540e-01
2.333333 2.176536e-01
2.500000 1.905247e-01
2.666667 1.637363e-01
2.833333 1.382197e-01
3.000000 1.146566e-01
3.166667 9.348802e-02
3.333333 7.493919e-02
3.500000 5.905408e-02
3.666667 4.573511e-02
3.833333 3.478289e-02
4.000000 2.593257e-02
4.166667 1.888446e-02
4.333333 1.332724e-02
4.500000 8.953284e-03
4.666667 5.465792e-03
4.833333 2.577457e-03
