# m=1, k=39.4784, p=2
# x0=0, v0=1
# t_start=0, t_end=20, h=0.001
#   t          x(t)               v(t)               KE(t)              PE(x(t))                TE 
0.0000  0.000000000000000e+00  1.000000000000000e+00  5.000000000000000e-01  0.000000000000000e+00  5.000000000000000e-01
0.0100  9.087695732603929e-03  8.197252073156014e-01  3.359747077543028e-01    1.630186516966002e-03  5.000000000000000e-01
0.0200  1.649556552076042e-02  6.664674854775086e-01  2.220894545993565e-01    5.371111391872833e-03  5.000000000000000e-01
0.0300  2.250161276144613e-02  5.386067643687557e-01  1.450486233118901e-01    9.994407066016644e-03  5.000000000000000e-01
0.0400  2.733846152960481e-02  4.319966983228603e-01  9.331057368092617e-02    1.475291645711449e-02  5.000000000000000e-01
0.0500  3.120075045661565e-02  3.431665344110514e-01  5.888163516984565e-02    1.921585978490727e-02  5.000000000000000e-01
0.0600  3.425132211324644e-02  2.692110629142274e-01  3.623729819770404e-02    2.315711333666565e-02  5.000000000000000e-01
0.0700  3.662640418027226e-02  2.076984934785020e-01  2.156933209661967e-02    2.648001997118622e-02  5.000000000000000e-01
0.0800  3.843994663193800e-02  1.565933371002075e-01  1.226073661208961e-02    2.916723717484887e-02  5.000000000000000e-01
0.0900  3.978725240735635e-02  1.141918496911031e-01  6.519889267937742e-03    3.124766997817039e-02  5.000000000000000e-01
0.1000  4.074801665207421e-02  7.906799110979600e-02  3.125873609069389e-03    3.277499929213039e-02  5.000000000000000e-01
0.1100  4.138887086667733e-02  5.002818682978211e-02  1.251409738737792e-03    3.381402723571591e-02  5.000000000000000e-01
0.1200  4.176551260730636e-02  2.607345841138449e-02  3.399126167650984e-04    3.443224764346662e-02  5.000000000000000e-01
0.1300  4.192448824697642e-02  6.367722496907800e-03  2.027394489881285e-05    3.469487133066638e-02  5.000000000000000e-01
0.1400  4.190468531028479e-02  -9.788746442104800e-03  4.790977845390969e-05    3.466210298436031e-02  5.000000000000000e-01
0.1500  4.173858168893562e-02  -2.298153071293052e-02  2.640753769546844e-04    3.438785728270942e-02  5.000000000000000e-01
0.1600  4.145329133974945e-02  -3.370066546737208e-02  5.678674264718624e-04    3.391937008876615e-02  5.000000000000000e-01
0.1700  4.107143961623017e-02  -4.235620563863221e-02  8.970240780510495e-04    3.329734398098312e-02  5.000000000000000e-01
0.1800  4.061189598488181e-02  -4.929125715533296e-02  1.214814015976581e-03    3.255639218169726e-02  5.000000000000000e-01
0.1900  4.009038735715530e-02  -5.479288546944269e-02  1.501130149033732e-03    3.172562934361854e-02  5.000000000000000e-01
0.2000  3.952001148389122e-02  -5.910124715672104e-02  1.746478707739913e-03    3.082931429621143e-02  5.000000000000000e-01
0.2100  3.891166669147600e-02  -6.241723402884439e-02  1.947955551905765e-03    2.988748749823798e-02  5.000000000000000e-01
0.2200  3.827441158724784e-02  -6.490887205060458e-02  2.106580835440878e-03    2.891657064570493e-02  5.000000000000000e-01
0.2300  3.761576614193054e-02  -6.671667788921440e-02  2.225557554286595e-03    2.792991182256901e-02  5.000000000000000e-01
