# omega0=1, alpha=0.2
# theta0=0.8, theta_dot0=0
# t_start=0, t_end=200, h=0.00911928
#   t          x(t)                 v(t)       
55.0987 3.782184127720024e-01 1.270759403599083e-03
5.518989474463090e+01 3.776006121013665e-01 -1.481803088922406e-02
5.528108756476413e+01 3.755170330662145e-01 -3.086679565567742e-02
5.537228038489736e+01 3.719738582886519e-01 -4.681993279757640e-02
5.546347320503059e+01 3.669823574516450e-01 -6.262147259316669e-02
5.555466602516382e+01 3.605589216985891e-01 -7.821506322935674e-02
5.564585884529705e+01 3.527250979453030e-01 -9.354398842332293e-02
5.573705166543028e+01 3.435076198564329e-01 -1.085512240086502e-01
5.582824448556351e+01 3.329384316642118e-01 -1.231795391609979e-01
5.591943730569674e+01 3.210547005533908e-01 -1.373716465122961e-01
5.601063012582997e+01 3.078988130214556e-01 -1.510704037753314e-01
5.610182294596320e+01 2.935183504648703e-01 -1.642190677054187e-01
5.619301576609643e+01 2.779660392535042e-01 -1.767615993054352e-01
5.628420858622966e+01 2.612996707456707e-01 -1.886430171877573e-01
5.637540140636289e+01 2.435819870691532e-01 -1.998097940045371e-01
5.646659422649612e+01 2.248805290468367e-01 -2.102102889181217e-01
5.655778704662935e+01 2.052674433698818e-01 -2.197952072847446e-01
5.664897986676258e+01 1.848192470001752e-01 -2.285180771488676e-01
5.674017268689581e+01 1.636165477930362e-01 -2.363357308738065e-01
5.683136550702904e+01 1.417437214396102e-01 -2.432087793418269e-01
5.692255832716227e+01 1.192885459984406e-01 -2.491020657077375e-01
5.701375114729550e+01 9.634179647464254e-02 -2.539850857315065e-01
5.710494396742873e+01 7.299680306679984e-02 -2.578323622734240e-01
5.719613678756196e+01 4.934897778884949e-02 -2.606237626104284e-01
5.728732960769519e+01 2.549531514065138e-02 -2.623447487975262e-01
5.737852242782842e+01 1.533873304253574e-03 -2.629865532991406e-01
5.746971524796165e+01 -2.243675705318521e-02 -2.625462744711873e-01
5.756090806809488e+01 -4.631798891211558e-02 -2.610268890832129e-01
5.765210088822811e+01 -7.001177237945429e-02 -2.584371818124221e-01
5.774329370836134e+01 -9.342111804364051e-02 -2.547915943903622e-01
5.783448652849457e+01 -1.164506031016070e-01 -2.501099997100815e-01
5.792567934862780e+01 -1.390068537483999e-01 -2.444174085857382e-01
5.801687216876103e+01 -1.609989981174363e-01 -2.377436188917492e-01
5.810806498889426e+01 -1.823390850229957e-01 -2.301228184096332e-01
5.819925780902749e+01 -2.029424648439968e-01 -2.215931538182968e-01
5.829045062916072e+01 -2.227281300527758e-01 -2.121962788462626e-01
5.838164344929395e+01 -2.416190140862271e-01 -2.019768946590637e-01
5.847283626942718e+01 -2.595422484320246e-01 -1.909822951050196e-01
5.856402908956041e+01 -2.764293789156210e-01 -1.792619285340619e-01
5.865522190969364e+01 -2.922165431853354e-01 -1.668669866015590e-01
5.874641472982687e+01 -3.068446122705717e-01 -1.538500288492921e-01
5.883760754996010e+01 -3.202592998069566e-01 -1.402646500029833e-01
5.892880037009333e+01 -3.324112430646207e-01 -1.261651949259542e-01
5.901999319022656e+01 -3.432560602723762e-01 -1.116065241045652e-01
5.911118601035979e+01 -3.527543888988751e-01 -9.664383048944550e-02
5.920237883049302e+01 -3.608719095362201e-01 -8.133250654443844e-02
5.929357165062626e+01 -3.675793598418696e-01 -6.572805851934126e-02
5.938476447075949e+01 -3.728525426456262e-01 -4.988606330858733e-02
5.947595729089272e+01 -3.766723318382807e-01 -3.386216182112111e-02
5.956715011102595e+01 -3.790246790481360e-01 -1.771208159245288e-02
5.965834293115918e+01 -3.799006234041350e-01 -1.491680435808711e-03
5.974953575129241e+01 -3.792963059039453e-01 1.474299773348547e-02
5.984072857142564e+01 -3.772129890771559e-01 3.093566415155136e-02
5.993192139155887e+01 -3.736570817831726e-01 4.702973289392287e-02
6.002311421169210e+01 -3.686401681359834e-01 6.296828418003717e-02
6.011430703182533e+01 -3.621790387291182e-01 7.869405202501245e-02
6.020549985195856e+01 -3.542957215688692e-01 9.414944424646413e-02
6.029669267209179e+01 -3.450175094365986e-01 1.092766018480137e-01
6.038788549222502e+01 -3.343769798151623e-01 1.240175035648822e-01
6.047907831235825e+01 -3.224120030521472e-01 1.383141198892098e-01
6.057027113249148e+01 -3.091657341137320e-01 1.521086192194760e-01
6.066146395262471e+01 -2.946865831247741e-01 1.653436269343103e-01
6.075265677275794e+01 -2.790281599068194e-01 1.779625362206595e-01
6.084384959289117e+01 -2.622491879252136e-01 1.899098674447221e-01
6.093504241302440e+01 -2.444133834429483e-01 2.011316708064818e-01
6.102623523315763e+01 -2.255892962495524e-01 2.115759650392822e-01
6.111742805329086e+01 -2.058501090783443e-01 2.211932030855678e-01
6.120862087342409e+01 -1.852733937272948e-01 2.299367540828492e-01
6.129981369355732e+01 -1.639408229325144e-01 2.377633897131197e-01
6.139100651369055e+01 -1.419378381765747e-01 2.446337620810470e-01
6.148219933382378e+01 -1.193532748076137e-01 2.505128598559769e-01
6.157339215395701e+01 -9.627894705540171e-02 2.553704294873920e-01
6.166458497409024e+01 -7.280919670991838e-02 2.591813489077886e-01
6.175577779422347e+01 -4.904041032804313e-02 2.619259422696556e-01
6.184697061435670e+01 -2.507051080763802e-02 2.635902258946920e-01
6.193816343448993e+01 -9.984299725701866e-04 2.641660776854910e-01
6.202935625462316e+01 2.307643058944676e-02 2.636513246781528e-01
6.212054907475639e+01 4.705474282967530e-02 2.620497460920427e-01
6.221174189488962e+01 7.083779196163775e-02 2.593709920375196e-01
6.230293471502285e+01 9.432800502754718e-02 2.556304208428236e-01
6.239412753515608e+01 1.174294611236346e-01 2.508488606262024e-01
6.248532035528931e+01 1.400483767253015e-01 2.450523031457891e-01
6.257651317542254e+01 1.620935603817298e-01 2.382715400006799e-01
6.266770599555577e+01 1.834768320444125e-01 2.305417528472575e-01
6.275889881568900e+01 2.041134034111062e-01 2.219020703769030e-01
6.285009163582223e+01 2.239222168580043e-01 2.123951053455349e-01
6.294128445595546e+01 2.428262417492313e-01 2.020664849515713e-01
6.303247727608869e+01 2.607527281059891e-01 1.909643873533991e-01
6.312367009622192e+01 2.776334187433006e-01 1.791390961498675e-01
6.321486291635515e+01 2.934047220011207e-01 1.666425832853468e-01
6.330605573648838e+01 3.080078480762333e-01 1.535281291645911e-01
6.339724855662161e+01 3.213889126770840e-01 1.398499868586806e-01
6.348844137675484e+01 3.334990122587648e-01 1.256630952395169e-01
6.357963419688807e+01 3.442942754409093e-01 1.110228437810198e-01
6.367082701702130e+01 3.537358953657769e-01 9.598488968744963e-02
6.376201983715453e+01 3.617901477224546e-01 8.060502602060958e-02
6.385321265728776e+01 3.684283989566384e-01 6.493909765446114e-02
6.394440547742099e+01 3.736271088192895e-01 4.904296023293800e-02
6.403559829755424e+01 3.773678309006025e-01 3.297247587866502e-02
6.412679111768755e+01 3.796372141698338e-01 1.678353822139693e-02
6.421798393782085e+01 3.804270078201644e-01 5.321184016752556e-04
6.430917675795415e+01 3.797340709256089e-01 -1.572567693262191e-02
6.440036957808745e+01 3.775603875794277e-01 -3.193354497647553e-02
6.449156239822075e+01 3.739130873262103e-01 -4.803493287970193e-02
6.458275521835405e+01 3.688044698484506e-01 -6.397299983056706e-02
6.467394803848735e+01 3.622520320484552e-01 -7.969060383886137e-02
6.476514085862065e+01 3.542784949028038e-01 -9.513032119363954e-02
6.485633367875396e+01 3.449118267835808e-01 -1.102345055571290e-01
6.494752649888726e+01 3.341852593614402e-01 -1.249453923953671e-01
6.503871931902056e+01 3.221372917519509e-01 -1.392052529575234e-01
6.512991213915386e+01 3.088116782581971e-01 -1.529566003264373e-01
6.522110495928716e+01 2.942573949160412e-01 -1.661424482081857e-01
6.531229777942046e+01 2.785285800768827e-01 -1.787066211537851e-01
6.540349059955376e+01 2.616844444746493e-01 -1.905941128670068e-01
6.549468341968706e+01 2.437891466220910e-01 -2.017514872143218e-01
6.558587623982037e+01 2.249116299627908e-01 -2.121273145904381e-01
6.567706905995367e+01 2.051254189591237e-01 -2.216726344863933e-01
6.576826188008697e+01 1.845083722046801e-01 -2.303414335401577e-01
6.585945470022027e+01 1.631423916867896e-01 -2.380911271041220e-01
6.595064752035357e+01 1.411130884579520e-01 -2.448830315148049e-01
6.604184034048687e+01 1.185094061650415e-01 -2.506828138604813e-01
6.613303316062017e+01 9.542320508800635e-02 -2.554609061572593e-01
6.622422598075347e+01 7.194881050821585e-02 -2.591928714860018e-01
6.631541880088677e+01 4.818253031250110e-02 -2.618597108077364e-01
6.640661162102008e+01 2.422214769580807e-02 -2.634481008320960e-01
6.649780444115338e+01 1.663956109047792e-04 -2.639505554020031e-01
6.658899726128668e+01 -2.388557980788134e-02 -2.633655052925633e-01
6.668019008141998e+01 -4.783475927519022e-02 -2.616972939957016e-01
6.677138290155328e+01 -7.158278617306961e-02 -2.589560898519312e-01
6.686257572168658e+01 -9.503249065110869e-02 -2.551577176664625e-01
6.695376854181988e+01 -1.180883949097154e-01 -2.503234155788651e-01
6.704496136195318e+01 -1.406571932044722e-01 -2.444795253227015e-01
6.713615418208649e+01 -1.626482009457324e-01 -2.376571260092371e-01
6.722734700221979e+01 -1.839737682659452e-01 -2.298916231152320e-01
6.731853982235309e+01 -2.045496545436823e-01 -2.212223053932560e-01
6.740973264248639e+01 -2.242953615602416e-01 -2.116918829269998e-01
6.750092546261969e+01 -2.431344241731672e-01 -2.013460195252751e-01
6.759211828275299e+01 -2.609946585735331e-01 -1.902328721148110e-01
6.768331110288629e+01 -2.778083693065242e-01 -1.784026488041065e-01
6.777450392301959e+01 -2.935125172392658e-01 -1.659071959165752e-01
6.786569674315290e+01 -3.080488515243711e-01 -1.527996226109976e-01
6.795688956328620e+01 -3.213640093082674e-01 -1.391339698069833e-01
6.804808238341950e+01 -3.334095874539412e-01 -1.249649280996829e-01
6.813927520355280e+01 -3.441421908799890e-01 -1.103476072645184e-01
