# omega0=1, alpha=0
# theta0=0.8, theta_dot0=0
# t_start=0, t_end=300, h=0.00911928
#   t          x(t)                 v(t)       
0  8.000000000000000e-01  0.000000000000000e+00
9.119282013323059e-02 7.970186273702200e-01 -6.535451447993854e-02
1.823856402664613e-01 7.880918277575897e-01 -1.303288186565224e-01
2.735784603996920e-01 7.732717694065420e-01 -1.945380575874005e-01
3.647712805329227e-01 7.526460911867749e-01 -2.575885158439395e-01
4.559641006661534e-01 7.263388721601061e-01 -3.190742497542644e-01
5.471569207993838e-01 6.945118543583800e-01 -3.785749655837707e-01
6.383497409326140e-01 6.573657883754819e-01 -4.356555036128136e-01
7.295425610658441e-01 6.151417410932113e-01 -4.898672281645911e-01
8.207353811990743e-01 5.681221812525847e-01 -5.407515363604511e-01
9.119282013323045e-01 5.166316443229186e-01 -5.878455803027693e-01
1.003121021465535e+00 4.610367760404673e-01 -6.306901488254049e-01
1.094313841598765e+00 4.017455666517458e-01 -6.688394816246893e-01
1.185506661731995e+00 3.392056170598711e-01 -7.018726026128268e-01
1.276699481865225e+00 2.739013240928580e-01 -7.294055791286407e-01
1.367892301998455e+00 2.063499334389062e-01 -7.511039622569117e-01
1.459085122131685e+00 1.370964816759381e-01 -7.666945654209700e-01
1.550277942264916e+00 6.670772738244743e-02 -7.759757150332108e-01
1.641470762398146e+00 -4.234751950732293e-03 -7.788251717887907e-01
1.732663582531376e+00 -7.514205379416199e-02 -7.752050756491764e-01
1.823856402664606e+00 -1.454257428829945e-01 -7.651634991648861e-01
1.915049222797836e+00 -2.145056243577631e-01 -7.488324769100401e-01
2.006242042931067e+00 -2.818171817814107e-01 -7.264226786325267e-01
2.097434863064297e+00 -3.468183923621754e-01 -6.982151724013692e-01
2.188627683197527e+00 -4.089956831293631e-01 -6.645509475503265e-01
2.279820503330757e+00 -4.678688601267916e-01 -6.258190113654245e-01
2.371013323463987e+00 -5.229949200668573e-01 -5.824439274079894e-01
2.462206143597217e+00 -5.739707321401772e-01 -5.348736301700513e-01
2.553398963730448e+00 -6.204346494497960e-01 -4.835682450870523e-01
2.644591783863678e+00 -6.620671691927655e-01 -4.289904868168587e-01
2.735784603996908e+00 -6.985908047625623e-01 -3.715980266561474e-01
2.826977424130138e+00 -7.297693600899897e-01 -3.118380346497379e-01
2.918170244263368e+00 -7.554068073318493e-01 -2.501439310678769e-01
3.009363064396598e+00 -7.753459653392597e-01 -1.869342368197082e-01
3.100555884529828e+00 -7.894671608146244e-01 -1.226132980405223e-01
3.191748704663059e+00 -7.976870295280335e-01 -5.757357631294224e-02
3.282941524796289e+00 -7.999575840451114e-01 7.800860998784171e-03
3.374134344929519e+00 -7.962656393199105e-01 7.313005146741092e-02
3.465327165062749e+00 -7.866326499175862e-01 1.380334703634102e-01
3.556519985195979e+00 -7.711149737868617e-01 2.021254147244626e-01
3.647712805329209e+00 -7.498045383368643e-01 2.650108669184268e-01
3.738905625462440e+00 -7.228298459347920e-01 3.262822551402018e-01
3.830098445595670e+00 -6.903572188187854e-01 3.855175051383906e-01
3.921291265728900e+00 -6.525921491462824e-01 4.422797372570109e-01
4.012484085862130e+00 -6.097805902825743e-01 4.961188999670365e-01
4.103676905995361e+00 -5.622100027944260e-01 5.465755402374153e-01
4.194869726128591e+00 -5.102099556588192e-01 5.931867892742102e-01
4.286062546261821e+00 -4.541520827502540e-01 6.354944902230347e-01
4.377255366395051e+00 -3.944492092307845e-01 6.730552188288749e-01
4.468448186528281e+00 -3.315534936549087e-01 7.054517616844025e-01
4.559641006661511e+00 -2.659534795702605e-01 7.323054386536615e-01
4.650833826794742e+00 -1.981700133400551e-01 7.532885097599578e-01
4.742026646927972e+00 -1.287510588194629e-01 7.681358166358825e-01
4.833219467061202e+00 -5.826551827787319e-02 7.766547952646672e-01
4.924412287194432e+00 1.270375507227471e-02 7.787330724229037e-01
5.015605107327662e+00 8.356750262042653e-02 7.743430228297598e-01
5.106797927460892e+00 1.537378672753722e-01 7.635429033267020e-01
5.197990747594122e+00 2.226361429189115e-01 7.464744674780341e-01
5.289183567727353e+00 2.897001524479988e-01 7.233572632670163e-01
5.380376387860583e+00 3.543909717527174e-01 6.944800903038534e-01
5.471569207993813e+00 4.161987707799630e-01 6.601903080455287e-01
5.562762028127043e+00 4.746476126612465e-01 6.208818202087014e-01
5.653954848260273e+00 5.292991297889776e-01 5.769826036905076e-01
5.745147668393503e+00 5.797550735642109e-01 5.289426075163031e-01
5.836340488526734e+00 6.256588051239282e-01 4.772227343953224e-01
5.927533308659964e+00 6.666958522879234e-01 4.222854569709830e-01
