#  N   Simpsons     Milne      GSL_QAG_31  
#-----------------------------------------
   5  7.579736e+00  9.772982e+00  7.067899e-16
   9  1.775330e-01  3.159473e-01  7.067899e-16
  13  2.522426e-02  3.976079e-02  7.067899e-16
  17  7.194467e-03  4.161433e-03  7.067899e-16
  21  2.813496e-03  8.912568e-04  7.067899e-16
  25  1.323679e-03  2.696931e-04  7.067899e-16
  29  7.040148e-04  1.008571e-04  7.067899e-16
  33  4.087669e-04  4.361310e-05  7.067899e-16
  37  2.535358e-04  2.098031e-05  7.067899e-16
  41  1.655744e-04  1.095372e-05  7.067899e-16
  45  1.127025e-04  6.103078e-06  7.067899e-16
  49  7.936859e-05  3.585420e-06  7.067899e-16
  53  5.750707e-05  2.201168e-06  7.067899e-16
  57  4.268602e-05  1.402569e-06  7.067899e-16
  61  3.234975e-05  9.226490e-07  7.067899e-16
  65  2.496299e-05  6.239394e-07  7.067899e-16
  69  1.957042e-05  4.322594e-07  7.067899e-16
  73  1.555919e-05  3.059223e-07  7.067899e-16
  77  1.252543e-05  2.206567e-07  7.067899e-16
  81  1.019664e-05  1.618824e-07  7.067899e-16
  85  8.384972e-06  1.205939e-07  7.067899e-16
  89  6.958512e-06  9.108883e-08  7.067899e-16
  93  5.822989e-06  6.967492e-08  7.067899e-16
  97  4.909994e-06  5.391217e-08  7.067899e-16
 101  4.169173e-06  4.215828e-08  7.067899e-16
 105  3.562983e-06  3.328896e-08  7.067899e-16
 109  3.063096e-06  2.652267e-08  7.067899e-16
 113  2.647900e-06  2.130821e-08  7.067899e-16
 117  2.300743e-06  1.725177e-08  7.067899e-16
 121  2.008670e-06  1.406848e-08  7.067899e-16
 125  1.761517e-06  1.154999e-08  7.067899e-16
 129  1.551241e-06  9.542222e-09  7.067899e-16
 133  1.371430e-06  7.930150e-09  7.067899e-16
 137  1.216938e-06  6.627099e-09  7.067899e-16
 141  1.083604e-06  5.567170e-09  7.067899e-16
 145  9.680431e-07  4.699875e-09  7.067899e-16
 149  8.674866e-07  3.986217e-09  7.067899e-16
 153  7.796560e-07  3.395859e-09  7.067899e-16
 157  7.026663e-07  2.905041e-09  7.067899e-16
 161  6.349506e-07  2.495044e-09  7.067899e-16
 165  5.752000e-07  2.151004e-09  7.067899e-16
 169  5.223160e-07  1.861057e-09  7.067899e-16
 173  4.753730e-07  1.615707e-09  7.067899e-16
 177  4.335877e-07  1.407279e-09  7.067899e-16
 181  3.962947e-07  1.229558e-09  7.067899e-16
 185  3.629267e-07  1.077479e-09  7.067899e-16
 189  3.329982e-07  9.469046e-10  7.067899e-16
 193  3.060924e-07  8.344201e-10  7.067899e-16
 197  2.818501e-07  7.372215e-10  7.067899e-16
 201  2.599612e-07  6.529978e-10  7.067899e-16
 205  2.401566e-07  5.797683e-10  7.067899e-16
 209  2.222028e-07  5.159509e-10  7.067899e-16
 213  2.058958e-07  4.601871e-10  7.067899e-16
 217  1.910579e-07  4.113246e-10  7.067899e-16
 221  1.775328e-07  3.684035e-10  7.067899e-16
 225  1.651838e-07  3.306286e-10  7.067899e-16
 229  1.538901e-07  2.972928e-10  7.067899e-16
 233  1.435453e-07  2.678167e-10  7.067899e-16
 237  1.340555e-07  2.416858e-10  7.067899e-16
 241  1.253371e-07  2.184870e-10  7.067899e-16
 245  1.173161e-07  1.978436e-10  7.067899e-16
 249  1.099266e-07  1.794432e-10  7.067899e-16
 253  1.031099e-07  1.630113e-10  7.067899e-16
 257  9.681352e-08  1.483015e-10  7.067899e-16
 261  9.099052e-08  1.351170e-10  7.067899e-16
 265  8.559882e-08  1.232849e-10  7.067899e-16
 269  8.060064e-08  1.126458e-10  7.067899e-16
 273  7.596203e-08  1.030596e-10  7.067899e-16
 277  7.165237e-08  9.440975e-11  7.067899e-16
 281  6.764406e-08  8.659802e-11  7.067899e-16
 285  6.391217e-08  7.952829e-11  7.067899e-16
